Time,Sequence #,Data,Best Gateway,RSSI,SNR
2019-09-15 04:31:37,398,d77e070da201009d023e0d000166662b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-69,11.2
2019-09-15 03:31:37,397,d77e0100a5023d0d000167902b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-69,12.8
2019-09-15 02:31:38,396,d77e070da70100af023c0d000169082b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-69,13.2
2019-09-15 01:31:38,395,d77e0100b8023c0d00016a632b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-73,11.8
2019-09-15 00:31:39,394,d77e070da70100b6023d0d00016a252b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-72,12.8
2019-09-14 23:31:40,393,d77e0100c2023d0d00016be02b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-72,13.2
2019-09-14 22:31:40,392,d77e070da90100c7023d0d00016cba2b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-72,12.5
2019-09-14 21:31:41,391,d77e0100ce023e0d00016db92b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-69,13.5
2019-09-14 20:31:42,390,d77e070da90100d0023e0d00016e102b0005000000042f00,64-7F-DA-FF-FE-00-51-DB,-96,1.5
2019-09-14 20:31:42,390,d77e070da90100d0023e0d00016e102b0005000000042f00,64-7F-DA-FF-FE-00-43-A5,-69,12.8
2019-09-14 19:31:43,389,d77e0100d4023e0d00016e982b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-72,12.2
2019-09-14 18:31:43,388,d77e070dac0100dd023d0d0001700a2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-69,13.8
2019-09-14 17:31:44,387,d77e0100e6023d0d000171532b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-71,13.2
2019-09-14 16:31:44,386,d77e070dae0100f0023e0d000172a92b0004000000032f01,64-7F-DA-FF-FE-00-43-A5,-68,13.2
2019-09-14 15:31:45,385,d77e0100dd02410d00016fb72b0006000000042f01,64-7F-DA-FF-FE-00-43-A5,-71,12.2
2019-09-14 14:31:46,384,d77e070da90100cd02410d00016d4d2b0005000000032f03,64-7F-DA-FF-FE-00-43-A5,-72,12.5
2019-09-14 13:31:46,383,d77e0100cf02410d00016d512b0004000000032f01,64-7F-DA-FF-FE-00-43-A5,-72,12.5
2019-09-14 12:31:47,382,d77e070da70100b602420d0001699e2b0004000000032f01,64-7F-DA-FF-FE-00-51-DB,-97,4.8
2019-09-14 11:31:48,381,d77e0100ad02430d0001684a2b0005000000042f00,64-7F-DA-FF-FE-00-43-A5,-69,6.2
2019-09-14 10:31:48,380,d77e070da20100a202430d000166862b0004000000022f00,64-7F-DA-FF-FE-00-43-A5,-72,12
2019-09-14 09:31:49,379,d77e01009902430d000165302b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-74,11.8
2019-09-14 08:31:50,378,d77e070da201009002430d000163ce2b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-69,12.8
2019-09-14 07:31:50,377,d77e01008f02420d000163af2b0005000000032f00,64-7F-DA-FF-FE-00-43-A5,-69,11.5
2019-09-14 06:31:51,376,d77e070da001008e02400d000163722b0007000000052f00,64-7F-DA-FF-FE-00-43-A5,-74,13.5
2019-09-14 05:31:52,375,d77e01009a023d0d000165122b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-73,11.8
2019-09-14 04:31:52,374,d77e070da201009e023b0d0001659b2b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-67,11
2019-09-14 03:31:53,373,d77e0100aa02380d000167312b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-67,14
2019-09-14 02:31:53,372,d77e070da70100ad02370d0001679a2b0005000000042f00,64-7F-DA-FF-FE-00-43-A5,-68,14.5
2019-09-14 01:31:54,371,d77e0100b002360d000167eb2b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-73,13
2019-09-14 00:31:55,370,d77e070da70100b302360d000168692b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-68,13.5
2019-09-13 23:31:55,369,d77e0100b402350d0001686a2b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-68,13.8
2019-09-13 22:31:56,368,d77e070da50100ae02350d000167832b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-66,12
2019-09-13 21:31:57,367,d77e0100b002340d000167df2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-67,14
2019-09-13 20:31:57,366,d77e070da70100b702330d000168c72b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-69,12.5
2019-09-13 19:31:58,365,d77e0100c002320d00016a072b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-63,12.8
2019-09-13 18:31:59,364,d77e070da90100c802310d00016b242b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-68,14.2
2019-09-13 17:31:59,363,d77e0100ce02300d00016bfe2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-67,13.2
2019-09-13 16:32:00,362,d77e070dac0100d1022f0d00016c522b0003000000022f01,64-7F-DA-FF-FE-00-51-DB,-98,8.5
2019-09-13 16:32:00,362,d77e070dac0100d1022f0d00016c522b0003000000022f01,64-7F-DA-FF-FE-00-43-A5,-69,14
2019-09-13 15:32:01,361,d77e0100d3022e0d00016cb92b0003000000022f02,72-76-FF-00-2E-05-04-F8,-111,-5.2
2019-09-13 15:32:01,361,d77e0100d3022e0d00016cb92b0003000000022f02,64-7F-DA-FF-FE-00-43-A5,-68,12.5
2019-09-13 14:32:01,360,d77e070da90100d1022e0d00016c952b0004000000032f02,64-7F-DA-FF-FE-00-43-A5,-67,11.8
2019-09-13 13:32:02,359,d77e0100ed022e0d000170a72b0003000000022f09,64-7F-DA-FF-FE-00-43-A5,-68,13.5
2019-09-13 12:32:03,358,d77e070d8f0100fc022f0d000172c52b0003000000022f09,64-7F-DA-FF-FE-00-43-A5,-67,13.2
2019-09-13 11:32:03,357,d77e0100f302300d000171692b0003000000022f09,64-7F-DA-FF-FE-00-43-A5,-69,13
2019-09-13 10:32:04,356,d77e070d8f0100ef02320d000170a12b0006000000042f09,72-76-FF-00-2E-05-04-F8,-107,0
2019-09-13 10:32:04,356,d77e070d8f0100ef02320d000170a12b0006000000042f09,64-7F-DA-FF-FE-00-43-A5,-67,11.2
2019-09-13 09:32:05,355,d77e0100dc02340d00016da42b0005000000042f09,64-7F-DA-FF-FE-00-43-A5,-69,13.5
2019-09-13 08:32:05,354,d77e070da20100b902380d000168ae2b0008000000062f04,64-7F-DA-FF-FE-00-43-A5,-71,12.5
2019-09-13 07:32:06,353,d77e01008f023a0d000162d12b0009000000072f00,72-76-FF-00-2E-05-04-F8,-104,-14
2019-09-13 07:32:06,353,d77e01008f023a0d000162d12b0009000000072f00,64-7F-DA-FF-FE-00-43-A5,-68,13
2019-09-13 06:32:06,352,d77e070d9d01006d023b0d00015e342b0006000000042f00,64-7F-DA-FF-FE-00-43-A5,-67,13
2019-09-13 05:32:07,351,d77e010075023a0d00015f442b0006000000042f00,64-7F-DA-FF-FE-00-43-A5,-66,11.5
2019-09-13 04:32:08,350,d77e070da001007c02390d000160432b0005000000042f00,64-7F-DA-FF-FE-00-51-DB,-96,-2
2019-09-13 04:32:08,350,d77e070da001007c02390d000160432b0005000000042f00,64-7F-DA-FF-FE-00-43-A5,-69,13
2019-09-13 03:32:08,349,d77e01008202380d000161062b0005000000042f00,64-7F-DA-FF-FE-00-43-A5,-67,11.5
2019-09-13 02:32:09,348,d77e070da001008702360d000161ac2b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-69,13.5
2019-09-13 01:32:10,347,d77e01009002350d000162f22b0004000000032f00,72-76-FF-00-2E-05-04-F8,-102,-9
2019-09-13 01:32:10,347,d77e01009002350d000162f22b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-66,11.2
2019-09-13 00:32:10,346,d77e070da201009602340d000163ce2b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-65,12.2
2019-09-12 23:32:11,345,d77e01009e02340d000164fe2b0003000000022f00,72-76-FF-00-2E-05-04-F8,-105,-4
2019-09-12 23:32:11,345,d77e01009e02340d000164fe2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-67,12.5
2019-09-12 22:32:12,344,d77e070da70100a602330d000165ff2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-69,13
2019-09-12 21:32:13,343,d77e0100ad02320d0001670b2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-66,12.5
2019-09-12 20:32:13,342,d77e070da70100b002320d000167952b0003000000022f00,64-7F-DA-FF-FE-00-51-DB,-97,7.5
2019-09-12 20:32:13,342,d77e070da70100b002320d000167952b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-66,12.8
2019-09-12 19:32:13,341,d77e0100bb02310d0001692c2b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-66,12
2019-09-12 18:32:14,340,d77e070da90100c502310d00016a872b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-67,9.5
2019-09-12 17:32:15,339,d77e0100c802310d00016b372b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-69,13
2019-09-12 16:32:15,338,d77e070da90100cb02320d00016bb82b0002000000012f01,64-7F-DA-FF-FE-00-43-A5,-67,12.5
2019-09-12 15:32:16,337,d77e0100cb02330d00016bd92b0002000000012f01,64-7F-DA-FF-FE-00-43-A5,-71,12.5
2019-09-12 14:32:17,336,d77e070dac0100ca02340d00016c052b0002000000012f01,64-7F-DA-FF-FE-00-43-A5,-68,14.2
2019-09-12 13:32:17,335,d77e0100f102340d000171eb2b0002000000012f09,64-7F-DA-FF-FE-00-43-A5,-71,14
2019-09-12 12:32:18,334,d77e070d8f0100f702360d000172ae2b0002000000012f09,64-7F-DA-FF-FE-00-43-A5,-75,9.8
2019-09-12 11:32:19,333,d77e0100f502390d000172502b000a000000072f09,64-7F-DA-FF-FE-00-43-A5,-68,12.5
2019-09-12 10:32:20,332,d77e070d8c0100ea023b0d000170942b0003000000022f09,64-7F-DA-FF-FE-00-43-A5,-67,13.2
2019-09-12 09:32:20,331,d77e0100d0023e0d00016cbb2b0004000000032f09,64-7F-DA-FF-FE-00-43-A5,-71,11.8
2019-09-12 08:32:21,330,d77e070da70100be02400d000169f02b0003000000022f04,64-7F-DA-FF-FE-00-43-A5,-67,11.8
2019-09-12 07:32:21,329,d77e01009c02430d000165342b0005000000042f00,64-7F-DA-FF-FE-00-43-A5,-67,12
2019-09-12 06:32:22,328,d77e070da201008402440d000161af2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-67,11.2
2019-09-12 05:32:23,327,d77e01008702430d0001622a2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-67,14
2019-09-12 04:32:24,326,d77e070da201008d02420d000163022b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-66,12.2
2019-09-12 03:32:24,325,d77e01009102410d000163b52b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-69,13
2019-09-12 02:32:25,324,d77e070da201009502400d000164202b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-69,14
2019-09-12 01:32:25,323,d77e01009702400d0001647c2b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-69,13.5
2019-09-12 00:32:26,322,d77e070da201009b023f0d000165352b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-69,14
